id,Name,ModelNumber,Price,Quantity,WarrantyStatus,DescriptionExtra,DescriptionMain,DiscountedPrice,DistributorId,Category
30,F-Series,2009,84425,9,5 Year,Enhanced,Advanced even-keeled firmware,1481,7,Sports
31,Continental,1985,66422,100,3 Year,Cloned,Programmable homogeneous complexity,2943,1,Luxury
32,Expedition,1998,96060,40,5 Year,Organized,Reverse-engineered well-modulated strategy,530,9,Luxury
33,Probe,1991,41712,30,10 Year,foreground,Down-sized client-driven flexibility,4097,4,SUV
34,Navigator L,2011,58235,70,5 Year,matrix,Function-based global knowledge base,4259,9,Luxury
35,C-Class,2003,13545,77,Yes,Upgradable,Fundamental even-keeled success,2051,4,SUV
36,XK Series,1997,69772,16,3 Year,superstructure,Fundamental value-added migration,673,9,Family
37,Viper RT/10,1995,82483,10,3 Year,tangible,Triple-buffered global local area network,1164,9,Luxury
38,L300,1987,77259,27,10 Year,Organized,Multi-channelled even-keeled firmware,4952,7,Sports
39,Dakota,2007,19688,67,Yes,Total,Vision-oriented encompassing core,1985,9,Family
40,M3,1999,43785,42,3 Year,fault-tolerant,Front-line radical ability,4731,8,Sports
41,Civic,1988,60319,16,3 Year,projection,Profound national customer loyalty,2271,3,Sedan
42,Compass,2011,46221,12,10 Year,initiative,Triple-buffered holistic application,4434,8,Sports
43,Neon,1995,77202,14,5 Year,Advanced,Visionary exuding parallelism,1541,10,SUV
44,Tribute,2006,33472,53,10 Year,Reactive,Down-sized eco-centric architecture,977,4,Sports
45,Jetta,1999,31415,30,10 Year,User-friendly,Focused multimedia pricing structure,4952,5,Family
46,Lancer,2004,77793,74,10 Year,Virtual,Triple-buffered systematic core,484,4,Luxury
47,Canyon,2009,52522,3,3 Year,artificial intelligence,Programmable hybrid productivity,4789,2,Family
48,M,2009,51840,28,5 Year,time-frame,Progressive asymmetric orchestration,4102,8,SUV
49,Range Rover,2012,58619,77,5 Year,Proactive,Optional web-enabled strategy,4532,4,Luxury
50,H1,1997,86993,76,Yes,encryption,Customizable systematic focus group,4851,10,Sports
51,Boxster,2000,37217,52,No,model,Horizontal grid-enabled artificial intelligence,3839,2,SUV
52,Sonata,2005,99166,52,10 Year,parallelism,Realigned 6th generation system engine,2758,2,Family
53,3500,1995,83589,73,5 Year,Vision-oriented,Enterprise-wide zero administration flexibility,1464,3,Family
54,Ram 2500,2006,35800,58,10 Year,analyzer,Organic context-sensitive firmware,3458,10,Sports
55,Mariner,2006,78316,63,10 Year,service-desk,Future-proofed eco-centric matrix,95,5,Family
56,Diablo,1997,79254,36,No,task-force,Cloned non-volatile intranet,4268,2,SUV
57,5000CS Quattro,1986,47542,28,10 Year,Cloned,Synchronised value-added artificial intelligence,792,8,Luxury
58,Dakota,2008,87645,60,10 Year,Inverse,Visionary mission-critical moratorium,839,8,Family
59,MKS,2010,44738,93,No,explicit,User-centric non-volatile collaboration,1013,1,Sports
60,Accord,2008,65427,58,5 Year,system engine,Networked logistical workforce,3494,4,Sedan
61,Sierra,2010,65356,21,5 Year,zero defect,Decentralized radical paradigm,4486,10,SUV
62,Grand Prix,1974,56938,95,No,bi-directional,Proactive uniform structure,849,2,Sedan
63,Vibe,2006,28765,78,5 Year,Versatile,Visionary full-range attitude,4587,4,Family
64,F250,1998,23133,89,10 Year,24 hour,Synchronised tertiary protocol,3059,3,SUV
65,riolet,1993,12357,98,Yes,Multi-layered,Balanced national knowledge base,3718,10,SUV
66,LX,2007,40579,100,10 Year,methodology,Multi-layered 5th generation system engine,3130,10,Sedan
67,911,1988,39547,83,Yes,fault-tolerant,Horizontal uniform strategy,4639,9,Sedan
68,Genesis,2011,43489,72,10 Year,zero tolerance,Adaptive hybrid capability,1080,7,Sports
69,Santa Fe,2005,39399,63,Yes,Re-contextualized,Proactive grid-enabled application,421,6,Family
70,Murciélago,2007,42088,86,No,Future-proofed,Optional heuristic benchmark,558,1,Sedan
71,Silverado 3500,2010,75462,1,5 Year,Multi-layered,Decentralized human-resource projection,2238,4,SUV
72,Town & Country,1995,91717,87,10 Year,conglomeration,Up-sized holistic data-warehouse,1105,9,Family
73,Mazda5,2008,10909,4,3 Year,Customer-focused,Visionary local archive,1408,7,Family
74,Durango,2003,37717,59,10 Year,throughput,Grass-roots bandwidth-monitored process improvement,2293,1,Luxury
75,Miata MX-5,2001,36683,98,No,bandwidth-monitored,Cross-group intermediate infrastructure,4981,8,Sports
76,S8,2002,25657,98,10 Year,Centralized,De-engineered discrete productivity,1691,7,Luxury
77,Bravada,1999,66287,12,3 Year,Function-based,Persistent reciprocal orchestration,2807,5,SUV
78,Equinox,2007,71025,96,3 Year,methodology,Centralized 4th generation alliance,3961,4,Sedan
79,Passport,2000,70466,66,Yes,concept,Diverse full-range open architecture,213,4,Sedan
80,Escape,2006,92179,14,3 Year,national,Synchronised actuating benchmark,2594,6,Sedan
81,Custom Cruiser,1992,74297,19,5 Year,firmware,Innovative system-worthy throughput,1904,6,Luxury
82,XL-7,2008,21751,10,No,policy,Digitized grid-enabled model,2110,7,Sedan
83,2500,2000,85269,46,Yes,cohesive,Optimized analyzing standardization,4745,4,Family
84,Quest,2005,67078,52,10 Year,executive,Open-source 24/7 core,4206,4,SUV
85,Cordia,1987,50565,64,10 Year,database,Pre-emptive multi-state help-desk,53,1,SUV
86,Celica,1992,81877,21,10 Year,Robust,Centralized asynchronous attitude,282,1,Family
87,C-Class,2008,99274,52,10 Year,Compatible,User-friendly well-modulated firmware,109,1,Sports
88,M5,2010,40619,78,3 Year,monitoring,Public-key local definition,3524,10,Family
89,Montana,2003,12291,2,No,artificial intelligence,Digitized optimizing benchmark,4084,2,Family
90,Armada,2010,56376,2,3 Year,fault-tolerant,Devolved incremental projection,1102,3,Family
91,C30,2008,51410,97,No,exuding,Progressive zero defect support,4633,2,Luxury
92,L300,1988,16481,1,10 Year,attitude-oriented,Cloned demand-driven open system,3347,8,SUV
93,LeSabre,1989,58226,100,Yes,Self-enabling,Managed empowering parallelism,750,7,Sedan
94,5000CS,1988,35943,20,5 Year,Intuitive,Streamlined multi-state artificial intelligence,815,2,Family
95,F350,1999,49723,3,5 Year,Profit-focused,Distributed fault-tolerant intranet,3458,10,Luxury
96,Sonata,2003,88793,17,3 Year,throughput,Implemented solution-oriented strategy,2053,3,Family
97,Aurora,1996,34834,24,Yes,User-centric,Vision-oriented coherent middleware,4489,10,Sports
98,F250,1992,63729,3,No,Reduced,Customizable object-oriented complexity,3436,4,Luxury
99,Rally Wagon 2500,1994,34319,5,10 Year,moratorium,Innovative optimal secured line,4888,10,Family
100,Murciélago,2009,67103,65,Yes,24/7,Pre-emptive composite instruction set,2044,8,Sports
101,Odyssey,2005,65084,15,No,installation,Cross-platform 4th generation system engine,976,6,SUV
102,Camry,1998,57247,38,No,Implemented,Devolved foreground Graphical User Interface,3349,6,SUV
103,Riviera,1995,31756,54,No,challenge,Enterprise-wide holistic challenge,3864,3,Luxury
104,V8,1991,12967,79,10 Year,policy,Multi-layered intangible alliance,3137,7,Sedan
105,Corrado,1991,81726,39,5 Year,non-volatile,Profound demand-driven instruction set,3647,8,Sports
106,Bravada,2002,56278,39,3 Year,Secured,Persevering needs-based firmware,3300,8,Luxury
107,MDX,2008,26808,93,No,stable,Persevering coherent migration,1785,10,Sedan
108,Trooper,1999,40364,64,3 Year,transitional,Multi-layered mobile project,1373,7,Sports
109,Truck,1987,59483,70,No,24 hour,Implemented background alliance,2610,8,Sedan
110,GS,1998,59168,24,3 Year,Future-proofed,Optimized cohesive core,4064,5,SUV
111,Supra,1996,69626,21,3 Year,Streamlined,Universal multi-tasking application,3704,10,SUV
112,Sentra,1999,81505,86,No,flexibility,Inverse systematic productivity,3273,1,Sedan
113,Focus,2000,63619,55,3 Year,leverage,Grass-roots composite time-frame,3882,7,Sports
114,Odyssey,2006,91764,45,10 Year,impactful,Reactive mission-critical collaboration,158,5,SUV
115,Discovery Series II,2000,64124,40,No,Virtual,Implemented upward-trending productivity,807,7,Luxury
116,Suburban 2500,1996,17966,73,5 Year,Multi-lateral,Centralized neutral methodology,2765,9,Family
117,Legacy,2010,76042,8,10 Year,groupware,Synchronised asymmetric alliance,4259,4,Sports
118,Firefly,1991,86359,89,3 Year,collaboration,Front-line homogeneous frame,2083,5,SUV
119,E250,2008,14731,53,No,encryption,Horizontal client-server policy,4347,4,Luxury
120,XJ,2011,45751,40,No,model,Centralized regional projection,344,7,SUV
121,430,1990,22762,100,No,reciprocal,Re-contextualized non-volatile software,2145,9,Sedan
122,Accord,1983,24594,25,5 Year,modular,Fundamental global orchestration,3852,9,Luxury
123,Voyager,2001,98927,73,3 Year,Face to face,Secured discrete structure,4573,7,Sports
124,SLK-Class,2002,46903,25,3 Year,project,Upgradable modular internet solution,2469,3,Luxury
125,CTS-V,2010,66639,38,5 Year,hardware,Customer-focused upward-trending customer loyalty,1855,4,Sports
126,LTD Crown Victoria,1991,40138,3,10 Year,Triple-buffered,Polarised background strategy,1367,4,Sports
127,Galant,2006,19107,59,10 Year,Grass-roots,Robust uniform challenge,1845,5,SUV
128,M5,2003,32421,26,10 Year,budgetary management,Inverse background throughput,4399,9,Luxury
129,Thunderbird,1987,79738,24,3 Year,extranet,Open-architected zero tolerance toolset,2676,10,Sports
130,Grand Marquis,1995,82901,85,5 Year,analyzer,Pre-emptive content-based task-force,3207,5,Family
131,Club Wagon,1998,57708,2,No,matrices,Diverse impactful orchestration,4068,3,Sedan
132,MKS,2011,48026,23,5 Year,portal,Quality-focused non-volatile utilisation,2044,2,Luxury
133,Endeavor,2005,30297,79,5 Year,regional,Progressive client-server moratorium,2487,5,Luxury
134,Tucson,2005,72538,95,10 Year,De-engineered,Reverse-engineered systematic projection,957,8,Family
135,Mountaineer,2001,81816,68,10 Year,Optimized,Enhanced discrete monitoring,2030,5,Luxury
136,Sunfire,2002,75553,26,Yes,pricing structure,Horizontal local knowledge base,2894,10,SUV
137,Econoline E250,1999,77004,93,5 Year,fresh-thinking,Grass-roots 24 hour artificial intelligence,3341,1,Luxury
138,QX,2009,21709,91,10 Year,system-worthy,Enhanced intangible time-frame,485,9,Sedan
139,Cavalier,2003,13834,85,10 Year,maximized,Business-focused logistical migration,1756,8,Sedan
140,Escape,2012,78633,70,5 Year,fault-tolerant,Stand-alone radical toolset,3979,4,Luxury
141,GX,2008,78544,12,Yes,User-centric,Reactive explicit solution,2368,5,Sedan
142,Ram Van 2500,1995,33873,14,No,Reduced,Persistent neutral functionalities,331,2,SUV
143,Regal,2012,84550,36,3 Year,asynchronous,Optional contextually-based model,4596,3,Sedan
144,Camry,1992,80727,70,5 Year,hierarchy,Fundamental asymmetric model,4127,7,Family
145,Pajero,2002,16926,96,5 Year,Re-engineered,Quality-focused real-time collaboration,3830,7,Sports
146,SL-Class,1990,70681,29,5 Year,ability,Triple-buffered 24/7 extranet,2908,2,Luxury
147,S4,2001,33131,35,No,Cloned,Enterprise-wide regional circuit,962,1,SUV
148,Golf,2000,19457,63,5 Year,Future-proofed,Multi-layered fault-tolerant extranet,1214,4,SUV
149,Continental Mark VII,1985,89257,95,5 Year,Reduced,Intuitive holistic access,1522,9,SUV
150,Venza,2011,70974,14,3 Year,Public-key,Fully-configurable bifurcated utilisation,2277,10,Sedan
151,SC,2007,95215,47,No,Cross-platform,Ergonomic next generation system engine,213,8,Sedan
152,C8 Spyder Wide Body,2004,49568,15,Yes,executive,Re-contextualized empowering paradigm,2824,9,SUV
153,Grand Voyager,1997,40973,44,3 Year,contingency,Self-enabling real-time paradigm,166,5,Family
154,Blazer,1994,95638,19,No,help-desk,Multi-tiered tangible moratorium,4823,2,Sports
155,Aurora,1995,95866,83,Yes,human-resource,Advanced 5th generation conglomeration,3551,10,Sports
156,V40,2004,51919,22,No,flexibility,Digitized bandwidth-monitored benchmark,1468,6,Luxury
157,Pajero,2004,27443,8,3 Year,Reverse-engineered,Fundamental static encoding,2893,10,Family
158,LS,2004,21250,57,10 Year,frame,Visionary high-level workforce,4414,9,Luxury
159,Nitro,2007,13963,5,5 Year,parallelism,Progressive zero defect moratorium,4702,5,Luxury
160,Grand Marquis,1993,23512,27,Yes,composite,Focused 3rd generation synergy,2123,3,Sedan
161,HS,2010,76403,27,No,responsive,Organic secondary function,3051,1,Sports
162,FX,2003,13710,97,5 Year,Fundamental,Compatible responsive challenge,2069,8,SUV
163,Sierra 3500,2001,42666,55,5 Year,Innovative,Distributed intangible concept,937,9,Sports
164,Caliber,2010,82425,69,3 Year,policy,Cross-group foreground ability,1250,4,Sedan
165,330,2005,43298,29,Yes,data-warehouse,Customer-focused background policy,584,7,Sedan
166,IS,2004,89315,12,10 Year,definition,Reactive full-range initiative,14,2,Luxury
167,1500 Club Coupe,1998,83450,89,10 Year,motivating,Reverse-engineered asynchronous moderator,3164,3,Sedan
168,Silhouette,1993,42681,79,5 Year,global,Horizontal interactive hierarchy,3518,8,Luxury
169,G-Class,2006,94023,56,10 Year,website,Ergonomic holistic data-warehouse,897,3,Family
170,Passport,2001,21389,68,5 Year,regional,Monitored scalable time-frame,1996,1,Sedan
171,C-Class,2000,37776,85,3 Year,forecast,De-engineered 24 hour secured line,2221,2,Family
172,Ram 1500,2001,72360,5,10 Year,3rd generation,Stand-alone object-oriented matrices,643,8,Sedan
173,GTO,2005,54581,34,No,functionalities,Reactive upward-trending local area network,2343,6,Sports
174,Z8,2000,38998,47,3 Year,synergy,Centralized non-volatile adapter,20,7,Family
175,Corvette,1969,48257,57,3 Year,mission-critical,Stand-alone homogeneous portal,1102,8,Family
176,Comanche,1992,10962,75,10 Year,heuristic,Seamless leading edge customer loyalty,2067,8,Family
177,Ghost,2010,47106,51,10 Year,Switchable,Object-based didactic access,3909,7,Sedan
178,CX,1989,51699,65,5 Year,Graphic Interface,Cross-platform heuristic challenge,4385,7,Family
179,C-Class,2011,27958,90,5 Year,even-keeled,Ameliorated value-added approach,1985,7,Luxury
180,5 Series,2006,79192,95,Yes,grid-enabled,De-engineered responsive encoding,4892,3,Family
181,LS,2004,82217,84,10 Year,discrete,Synergistic bottom-line intranet,2781,1,Sports
182,V70,1998,57194,20,10 Year,data-warehouse,Advanced zero tolerance throughput,610,3,Sedan
183,Navigator,2000,25851,96,Yes,holistic,Multi-lateral 4th generation artificial intelligence,2644,5,Sports
184,Ridgeline,2006,44390,14,No,open architecture,Focused mobile access,1770,10,Sedan
185,Cruze,2012,47211,57,10 Year,Phased,Synergistic grid-enabled frame,3646,3,Sports
186,S60,2003,42447,99,5 Year,encoding,Switchable web-enabled approach,1026,10,Luxury
187,Familia,1988,98506,56,3 Year,clear-thinking,Innovative coherent artificial intelligence,3048,9,Luxury
188,Ascender,2004,77911,10,5 Year,emulation,Digitized maximized framework,3199,8,Sports
189,RX,2008,84392,90,No,help-desk,Open-source clear-thinking parallelism,3099,1,Luxury
190,ES,1994,29432,24,3 Year,strategy,Assimilated cohesive leverage,2833,3,Sedan
191,LX,2008,61590,16,5 Year,Horizontal,Grass-roots radical secured line,4594,2,SUV
192,Silverado 3500,2010,45919,73,No,bifurcated,Innovative radical monitoring,3209,7,Sports
193,Corrado,1994,13583,16,No,reciprocal,Self-enabling zero tolerance strategy,3738,6,Sports
194,Sable,1991,19047,68,5 Year,upward-trending,Sharable radical superstructure,761,3,Sedan
195,S4,2006,55845,62,3 Year,value-added,Assimilated 5th generation capability,395,5,SUV
196,Roadmaster,1995,19355,100,Yes,asymmetric,Total 4th generation info-mediaries,4151,5,SUV
197,TT,2003,36030,3,Yes,middleware,Compatible real-time orchestration,3199,1,SUV
198,Element,2007,74856,86,10 Year,analyzing,Configurable uniform time-frame,1980,9,Sedan
199,90,1988,98010,13,Yes,tangible,Digitized impactful task-force,4421,7,Family
200,Regal,1996,69251,18,No,Integrated,Down-sized composite info-mediaries,1701,4,Sedan
201,Savana 3500,1999,88818,46,5 Year,leading edge,Up-sized responsive analyzer,4296,5,SUV
202,Highlander,2012,76207,13,No,extranet,Down-sized regional architecture,4471,8,SUV
203,Econoline E250,1996,68349,48,Yes,scalable,Synergistic tangible application,4109,7,Sedan
204,Versa,2007,33424,5,10 Year,Synchronised,Down-sized upward-trending definition,3742,4,Family
205,Savana 3500,2000,90507,70,No,bifurcated,Diverse content-based emulation,3206,5,Family
206,Grand Prix,1980,62010,16,5 Year,Enhanced,Organized 3rd generation installation,1520,10,Sedan
207,LeSabre,1998,43083,5,3 Year,extranet,Visionary user-facing collaboration,4331,1,Sports
208,Escape,2005,81464,95,3 Year,24/7,Configurable incremental infrastructure,535,1,Family
209,Titan,2011,89132,56,10 Year,array,Re-engineered tertiary service-desk,4330,1,SUV
210,Yukon,2005,24641,11,10 Year,radical,Secured methodical protocol,1968,7,SUV
211,Grand Marquis,2006,25351,7,5 Year,upward-trending,Ergonomic static intranet,905,8,Family
212,525,2004,18147,47,No,dynamic,Automated 5th generation collaboration,3353,7,Sports
213,STS-V,2006,33024,81,10 Year,even-keeled,Profit-focused composite productivity,1048,7,SUV
214,Jetta,1994,39785,37,5 Year,implementation,Organized next generation methodology,837,3,Sedan
215,LR2,2008,64149,8,3 Year,Robust,Virtual bandwidth-monitored data-warehouse,4111,1,Sports
216,G25,2011,88220,33,Yes,Ameliorated,Streamlined neutral functionalities,2295,4,Sedan
217,Galant,2000,24745,24,10 Year,Reverse-engineered,Fully-configurable didactic customer loyalty,317,1,Sports
218,Celica,1976,67239,72,5 Year,function,Sharable executive initiative,1226,10,Sports
219,SL-Class,2008,10404,99,No,local,Multi-lateral didactic extranet,3017,9,Sedan
220,Prelude,1993,90546,1,3 Year,Networked,Progressive impactful portal,4895,3,Sedan
221,57,2012,12578,22,5 Year,Multi-channelled,Function-based user-facing contingency,403,7,Luxury
222,Mustang,1987,37607,22,No,Multi-tiered,Profit-focused grid-enabled algorithm,729,6,Luxury
223,Breeze,1997,14669,82,5 Year,Total,Adaptive executive emulation,3030,6,SUV
224,Rally Wagon 2500,1993,92012,84,3 Year,actuating,Managed object-oriented algorithm,2610,3,Family
225,Ram,2009,26048,52,No,dedicated,Customizable exuding synergy,3887,8,Sedan
226,Special,1962,44623,82,10 Year,analyzing,Networked interactive concept,802,9,Luxury
227,DeVille,2000,53424,86,Yes,6th generation,Robust fresh-thinking extranet,2314,6,Family
228,Evora,2010,57724,99,Yes,fresh-thinking,Decentralized empowering product,4609,4,Family
229,Savana 1500,2002,97851,54,10 Year,internet solution,Exclusive 4th generation migration,4230,9,Family
230,Savana 3500,1996,39905,65,Yes,fresh-thinking,Extended composite core,1383,6,Sedan
231,350Z,2005,26220,32,10 Year,firmware,Visionary 3rd generation application,3362,3,Sports
232,Savana Cargo Van,2006,30513,28,5 Year,Automated,Enterprise-wide empowering benchmark,1630,2,Luxury
233,300,1999,76217,95,Yes,local area network,Organized fresh-thinking neural-net,3086,9,Sports
234,EXP,1986,32637,72,No,Organic,Enhanced foreground capability,4343,4,Sports
235,RX-7,1986,86420,69,10 Year,help-desk,Profit-focused full-range customer loyalty,2828,3,SUV
236,Quest,1994,87476,33,3 Year,local,Innovative zero administration contingency,3842,4,Sedan
237,Sequoia,2010,50945,50,10 Year,attitude,Customer-focused upward-trending secured line,1115,9,SUV
238,Legacy,1992,42211,71,10 Year,alliance,User-friendly multimedia help-desk,4131,9,SUV
239,Ridgeline,2010,70643,19,5 Year,reciprocal,Monitored bandwidth-monitored algorithm,2147,6,SUV
240,Sonoma,2001,11497,60,3 Year,stable,Re-contextualized maximized application,1715,5,Sedan
241,LS Hybrid,2010,78437,38,No,Cross-group,Organic mobile system engine,1529,6,Sedan
242,SLK-Class,1997,35645,29,Yes,throughput,Networked non-volatile conglomeration,3786,8,Sedan
243,Sierra 3500,2006,58993,14,10 Year,Face to face,Balanced zero administration system engine,2920,7,Sports
244,3000GT,1997,41898,7,3 Year,leverage,Seamless dynamic function,1699,8,SUV
245,NSX,2000,52855,97,5 Year,context-sensitive,Intuitive next generation benchmark,2690,4,Sports
246,Prizm,1993,94056,27,5 Year,contingency,Distributed static synergy,1743,9,Family
247,Spectra,2004,17640,33,3 Year,next generation,Self-enabling upward-trending pricing structure,4984,3,Sedan
248,Pathfinder,1992,93000,57,10 Year,Enhanced,Open-architected national extranet,417,4,SUV
249,TrailBlazer,2008,72398,13,No,Profound,Optional content-based orchestration,3172,2,Sedan
250,Yukon XL 2500,2012,75973,58,5 Year,Re-engineered,Open-architected object-oriented infrastructure,160,6,SUV
251,Villager,1997,27335,47,5 Year,hardware,Reactive systematic Graphical User Interface,3006,10,Sedan
252,Blazer,1996,35665,53,Yes,Down-sized,Synergistic asymmetric definition,976,4,Luxury
253,G-Series G30,1992,18133,9,3 Year,Business-focused,Triple-buffered high-level portal,1496,2,Sports
254,Econoline E150,1992,58748,11,No,Intuitive,Self-enabling optimizing process improvement,280,6,Family
255,330,2006,74405,43,3 Year,intermediate,Stand-alone mission-critical flexibility,3966,5,Family
256,Space,1993,32093,51,Yes,Customizable,Automated multi-tasking Graphical User Interface,1694,8,Sedan
257,C-Class,2006,43971,54,Yes,service-desk,Compatible uniform portal,1234,6,SUV
258,Grand Prix,1997,22123,33,Yes,moratorium,Proactive well-modulated adapter,629,3,Luxury
259,DeVille,1994,20687,65,10 Year,regional,Object-based mobile info-mediaries,4163,9,Luxury
260,Voyager,2000,65296,38,10 Year,groupware,Enhanced 4th generation benchmark,4843,3,Luxury
261,Mustang,1971,72781,2,10 Year,circuit,Extended dedicated artificial intelligence,2020,2,SUV
262,Dakota,2006,41093,62,No,clear-thinking,Cloned client-server artificial intelligence,695,2,Sedan
263,Trooper,2002,68889,74,3 Year,holistic,Virtual regional parallelism,2425,4,Sedan
264,SLK-Class,2011,37122,29,Yes,Open-architected,Re-engineered motivating capacity,2489,1,Sedan
265,9000,1991,85783,52,3 Year,neutral,Down-sized stable core,402,7,Luxury
266,C70,2004,30700,5,10 Year,matrix,Secured stable approach,766,2,Family
267,Scirocco,1984,81196,15,10 Year,Innovative,Mandatory needs-based database,3023,1,Family
268,Tacoma,2005,90440,37,No,motivating,Progressive motivating benchmark,2232,7,SUV
269,Elantra,2004,82436,34,5 Year,Virtual,Business-focused context-sensitive migration,3843,3,Sports
270,500SEL,1993,52148,88,No,Profound,Pre-emptive explicit focus group,791,3,Sports
271,Silhouette,1997,27136,59,5 Year,Profound,Vision-oriented scalable support,905,3,Sports
272,DTS,2008,82412,3,10 Year,Adaptive,Horizontal attitude-oriented support,1222,8,Sports
273,900,1998,49454,57,3 Year,Enterprise-wide,Assimilated regional implementation,1021,5,Sedan
274,Alpina B7,2007,70166,46,Yes,Synchronised,Multi-layered interactive standardization,1037,3,Family
275,Bonneville,1994,97819,2,10 Year,empowering,Automated coherent framework,3638,6,Sports
276,GLI,2009,31323,18,No,model,Multi-tiered transitional paradigm,920,4,Luxury
277,xB,2011,97466,6,Yes,workforce,Progressive bifurcated support,1651,7,Luxury
278,Sunbird,1986,52265,17,10 Year,productivity,Multi-tiered global forecast,2590,10,Luxury
279,Tundra,2011,16116,7,10 Year,real-time,Cross-group web-enabled array,3076,1,SUV
280,Monte Carlo,1999,52194,49,3 Year,human-resource,Customer-focused zero defect migration,4069,9,Sports
281,LS,2009,97482,78,No,fresh-thinking,Down-sized web-enabled hierarchy,1855,2,Sports
282,Firebird,1989,31715,85,3 Year,24 hour,Networked optimizing algorithm,1370,3,Luxury
283,3 Series,2011,41231,44,Yes,object-oriented,Synergized transitional core,3364,4,SUV
284,MX-5,1998,48225,49,3 Year,customer loyalty,Organic multi-state methodology,1675,9,Sports
285,TrailBlazer,2006,16151,45,10 Year,function,Ameliorated motivating functionalities,4704,3,SUV
286,Verona,2005,39900,25,3 Year,mission-critical,Re-contextualized executive projection,4,3,Luxury
287,NSX,2003,95804,100,5 Year,frame,Total motivating firmware,128,4,Luxury
288,Silverado 2500,2001,16608,21,No,Object-based,Robust intermediate installation,942,6,Luxury
289,GT350,1969,95273,76,Yes,function,Balanced radical artificial intelligence,3819,5,Sports
290,XL-7,2003,47425,41,Yes,hardware,Organized zero tolerance moratorium,4516,1,Luxury
291,S-Series,1997,23248,40,No,multi-state,Profit-focused composite alliance,2778,9,Luxury
292,MDX,2002,68658,95,3 Year,real-time,Switchable foreground artificial intelligence,2118,8,SUV
293,Econoline E350,1995,13664,60,5 Year,task-force,Polarised scalable budgetary management,581,5,Sports
294,3500,1998,32354,96,No,hybrid,Cloned incremental hardware,877,3,Sports
295,Familia,1988,24690,49,10 Year,Upgradable,Diverse multimedia interface,4778,4,Sedan
296,Civic,2004,97465,82,10 Year,Cloned,Multi-lateral systematic approach,479,2,SUV
297,Defender 90,1997,30240,6,No,fault-tolerant,Operative systemic extranet,3461,4,Sedan
298,Kizashi,2010,60493,92,3 Year,Automated,Centralized regional access,101,2,Sedan
299,7 Series,2001,77975,37,10 Year,next generation,Team-oriented dedicated matrices,2797,8,Luxury
300,Model T,1909,56433,26,Yes,success,Quality-focused well-modulated structure,1794,1,Sports
301,6000,1988,80605,49,3 Year,scalable,Adaptive stable architecture,464,4,SUV
